"filename", "language", "Ignore", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "XML", "CSS", "JavaScript JSX", "Markdown", "HTML", "C#", "Properties", "comment", "blank", "total"
"c:\Git\videoportal2\frontend\src\components\Forms\RegistationForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 6, 136
"c:\Git\videoportal2\frontend\src\components\InlineList\InlineList.tsx", "TypeScript JSX", 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 1, 6, 145
"c:\Git\videoportal2\frontend\src\components\InlineList\PlaylistInlineList.tsx", "TypeScript JSX", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 7, 77
"c:\Git\videoportal2\frontend\src\components\InlineList\VideoInlineList.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 2, 44
"c:\Git\videoportal2\frontend\src\components\Navigation\AndroidNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Git\videoportal2\frontend\src\components\Navigation\CustomNavLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 4, 23
"c:\Git\videoportal2\frontend\src\components\Navigation\DesktopNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 6, 5, 92
"c:\Git\videoportal2\frontend\src\components\Navigation\Navigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 6, 81
"c:\Git\videoportal2\frontend\src\components\Table\EnhancedTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 356, 0, 0, 0, 0, 0, 0, 0, 1, 25, 382
"c:\Git\videoportal2\frontend\src\components\Thumbnail\PlaylistCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 1, 6, 154
"c:\Git\videoportal2\frontend\src\components\Thumbnail\VideoCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 240, 0, 0, 0, 0, 0, 0, 0, 1, 8, 249
"c:\Git\videoportal2\frontend\src\components\Utils\APIUtils.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Git\videoportal2\frontend\src\components\Utils\AspectRatio.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 2, 33
"c:\Git\videoportal2\frontend\src\components\Utils\CoolColors.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 2, 45
"c:\Git\videoportal2\frontend\src\components\Utils\FileUploadWithPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 10, 6, 56
"c:\Git\videoportal2\frontend\src\components\Utils\ImageUrlGenerator.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Git\videoportal2\frontend\src\components\Utils\NumberUtils.tsx", "TypeScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 2, 4, 64
"c:\Git\videoportal2\frontend\src\components\Utils\ScrollOnTop.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Git\videoportal2\frontend\src\components\Utils\StrictModeDroppable.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 7, 24
"c:\Git\videoportal2\frontend\src\components\Utils\StringUtils.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"c:\Git\videoportal2\frontend\src\components\Utils\types.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Git\videoportal2\frontend\src\components\VerticalList\VerticalList.tsx", "TypeScript JSX", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 6, 99
"c:\Git\videoportal2\frontend\src\components\VideoDetail\LikeDislikeMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 2, 8, 150
"c:\Git\videoportal2\frontend\src\components\VideoDetail\VideoPlayer.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 3, 8, 64
"c:\Git\videoportal2\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Git\videoportal2\frontend\src\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 5, 42
"c:\Git\videoportal2\frontend\src\model\Channel.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Git\videoportal2\frontend\src\model\Error.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Git\videoportal2\frontend\src\model\Playlist.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 36
"c:\Git\videoportal2\frontend\src\model\User.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Git\videoportal2\frontend\src\model\Video.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 56
"c:\Git\videoportal2\frontend\src\routes\ChannelEdit.tsx", "TypeScript JSX", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 8, 128
"c:\Git\videoportal2\frontend\src\routes\Channel\Channel.tsx", "TypeScript JSX", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 8, 145
"c:\Git\videoportal2\frontend\src\routes\Channel\ChannelHomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 6, 71
"c:\Git\videoportal2\frontend\src\routes\Channel\ChannelInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Git\videoportal2\frontend\src\routes\Channel\ChannelPlaylists.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
